[2025-07-11T17:30:21,105Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 219ms  /
[2025-07-11T17:30:51,394Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /
[2025-07-11T17:31:21,693Z] [     172.18.0.1 -> inform-1  ] GET   302 59ms   /
[2025-07-11T17:31:21,709Z] [0:0:0:0:0:0:0:1 -> webapi-1  ] HEAD  302 10ms   /
[2025-07-11T17:31:21,735Z] [0:0:0:0:0:0:0:1 -> webapi-1  ] HEAD  200 23ms   /setup/
[2025-07-11T17:31:24,256Z] [     172.18.0.1 -> webapi-1  ] GET   302 4ms    /
[2025-07-11T17:31:24,477Z] [     172.18.0.1 -> webapi-1  ] GET   200 6ms    /setup/
[2025-07-11T17:31:24,979Z] [     172.18.0.1 -> webapi-2  ] GET   200 23ms   /setup/static/js/main.7997cf149daff31b117c.js
[2025-07-11T17:31:25,119Z] [     172.18.0.1 -> webapi-1  ] GET   200 176ms  /setup/static/js/vendor.7997cf149daff31b117c.js
[2025-07-11T17:31:26,088Z] [     172.18.0.1 -> webapi-1  ] POST  200 12ms   /api/logout
[2025-07-11T17:31:26,225Z] [     172.18.0.1 -> webapi-1  ] GET   200 7ms    /setup/favicon.png
[2025-07-11T17:31:26,358Z] [     172.18.0.1 -> webapi-2  ] GET   200 13ms   /api/stat/sysinfo
[2025-07-11T17:31:26,977Z] [     172.18.0.1 -> webapi-2  ] GET   200 23ms   /setup/static/fonts/874b8e7bc7e8d1507b50f56bc6c9b536.woff
[2025-07-11T17:31:26,988Z] [     172.18.0.1 -> webapi-1  ] GET   200 16ms   /setup/static/fonts/b8ee546acd6cc0c49f42ad3d48ef244f.woff
[2025-07-11T17:31:27,020Z] [     172.18.0.1 -> webapi-4  ] GET   200 7ms    /api/stat/sdn
[2025-07-11T17:31:27,029Z] [     172.18.0.1 -> webapi-3  ] GET   200 12ms   /setup/static/images/c3686a3d067479d40dce0a214f8f9418.png
[2025-07-11T17:31:27,118Z] [     172.18.0.1 -> webapi-2  ] GET   200 4ms    /api/stat/ccode
